state,date,sex,ethnicity,annual_birth,annual_death,age,population
Melaka,2005-01-01,both,overall,13341,4140,overall,737300
Melaka,2006-01-01,both,overall,12946,4146,overall,755000
Melaka,2007-01-01,both,overall,13444,4145,overall,772800
Melaka,2008-01-01,both,overall,13619,4381,overall,790500
Melaka,2009-01-01,both,overall,13456,4472,overall,807800
Melaka,2010-01-01,both,overall,13010,4481,overall,823600
Melaka,2011-01-01,both,overall,13976,4606,overall,833200
Melaka,2012-01-01,both,overall,14278,4575,overall,843200
Melaka,2013-01-01,both,overall,13692,4747,overall,856700
Melaka,2014-01-01,both,overall,14568,4728,overall,871700
Melaka,2015-01-01,both,overall,14554,4959,overall,889000
Melaka,2016-01-01,both,overall,14402,5186,overall,901100
Melaka,2017-01-01,both,overall,14389,5523,overall,913100
Melaka,2018-01-01,both,overall,14388,5407,overall,922400
Melaka,2019-01-01,both,overall,14136,5547,overall,928400
Melaka,2020-01-01,both,overall,13855,5444,overall,998400
Melaka,2021-01-01,both,overall,13192,7083,overall,1004500
Melaka,2022-01-01,both,overall,13105,6630,overall,1008600
Negeri Sembilan,2000-01-01,both,overall,19243,4540,overall,866100
Negeri Sembilan,2001-01-01,both,overall,17670,4724,overall,883700
Negeri Sembilan,2002-01-01,both,overall,17647,5051,overall,900300
Negeri Sembilan,2003-01-01,both,overall,17272,5038,overall,916800
Negeri Sembilan,2004-01-01,both,overall,17085,5067,overall,933700
Negeri Sembilan,2005-01-01,both,overall,16838,5163,overall,950300
Negeri Sembilan,2006-01-01,both,overall,16622,5204,overall,967000
Negeri Sembilan,2007-01-01,both,overall,17195,5181,overall,983500
Negeri Sembilan,2008-01-01,both,overall,17351,5740,overall,999600
Negeri Sembilan,2009-01-01,both,overall,17360,5832,overall,1014900
Negeri Sembilan,2010-01-01,both,overall,16939,5814,overall,1029500
Negeri Sembilan,2011-01-01,both,overall,17670,5885,overall,1047400
Negeri Sembilan,2012-01-01,both,overall,17903,5895,overall,1057700
Negeri Sembilan,2013-01-01,both,overall,17509,6213,overall,1072200
Negeri Sembilan,2014-01-01,both,overall,18676,6410,overall,1079600
Negeri Sembilan,2015-01-01,both,overall,18423,6611,overall,1088800
Negeri Sembilan,2016-01-01,both,overall,18036,6810,overall,1099300
Negeri Sembilan,2017-01-01,both,overall,18078,7111,overall,1114000
Negeri Sembilan,2018-01-01,both,overall,18177,7298,overall,1122900
Negeri Sembilan,2019-01-01,both,overall,17464,7168,overall,1126200
Negeri Sembilan,2020-01-01,both,overall,17120,7011,overall,1200000
Negeri Sembilan,2021-01-01,both,overall,16777,9165,overall,1204200
Negeri Sembilan,2022-01-01,both,overall,15991,8636,overall,1207900
Pahang,2000-01-01,both,overall,29555,5507,overall,1295800
Pahang,2001-01-01,both,overall,27613,5741,overall,1317300
Pahang,2002-01-01,both,overall,26810,6297,overall,1338700
Pahang,2003-01-01,both,overall,26144,6291,overall,1360000
Pahang,2004-01-01,both,overall,25899,6275,overall,1380200
Pahang,2005-01-01,both,overall,25692,6499,overall,1400800
Pahang,2006-01-01,both,overall,24809,6670,overall,1421200
Pahang,2007-01-01,both,overall,24958,6742,overall,1441400
Pahang,2008-01-01,both,overall,25658,7100,overall,1461600
