State,Total_Arrivals,Total_Male_Arrivals,Total_Female_Arrivals,Month
Sarawak,112505,61296,51209,01/08/2023
Sarawak,113165,62094,51071,01/09/2023
Sarawak,106667,59316,47351,01/10/2023
Sarawak,113059,62443,50616,01/11/2023
Sarawak,230361,120799,109562,01/12/2023
Selangor,528858,309683,219175,01/01/2023
Selangor,495852,313058,182794,01/02/2023
Selangor,568760,351170,217590,01/03/2023
Selangor,549762,318485,231277,01/04/2023
Selangor,597519,355223,242296,01/05/2023
Selangor,449001,270555,178446,01/06/2023
Selangor,790911,442236,348675,01/07/2023
Selangor,782907,450015,332892,01/08/2023
Selangor,704265,408872,295393,01/09/2023
Selangor,643447,367295,276152,01/10/2023
Selangor,649129,374771,274358,01/11/2023
Selangor,792830,435062,357768,01/12/2023
Terengganu,0,0,0,01/01/2023
Terengganu,3,3,0,01/02/2023
Terengganu,18,18,0,01/03/2023
Terengganu,1,1,0,01/04/2023
Terengganu,1,1,0,01/05/2023
Terengganu,3,3,0,01/06/2023
Terengganu,1,1,0,01/07/2023
Terengganu,0,0,0,01/08/2023
Terengganu,3,2,1,01/09/2023
Terengganu,4,4,0,01/10/2023
Terengganu,17,14,3,01/11/2023
Terengganu,1,1,0,01/12/2023
Labuan,1622,1113,509,01/01/2023
Labuan,1946,1277,669,01/02/2023
Labuan,1425,978,447,01/03/2023
Labuan,2291,1383,908,01/04/2023
Labuan,1741,1110,631,01/05/2023
Labuan,1587,1042,545,01/06/2023
Labuan,1360,934,426,01/07/2023
Labuan,2290,1426,864,01/08/2023
Labuan,1469,998,471,01/09/2023
Labuan,1328,934,394,01/10/2023
Labuan,1651,1108,543,01/11/2023
Labuan,3817,2308,1509,01/12/2023
