state,date,sex,ethnicity,annual_birth,annual_death,age,population,population_x_1000
Johor,2000-01-01,both,overall,67183,12144,overall,2762.5,2762500.0
Johor,2001-01-01,both,overall,61432,12730,overall,2829.9,2829900.0
Johor,2002-01-01,both,overall,59699,13459,overall,2893.6,2893600.0
Johor,2003-01-01,both,overall,58230,13671,overall,2954.0,2954000.0
Johor,2004-01-01,both,overall,57339,13842,overall,3014.6,3014600.0
Johor,2005-01-01,both,overall,56524,14152,overall,3074.4,3074400.0
Johor,2006-01-01,both,overall,56737,14546,overall,3134.4,3134400.0
Johor,2007-01-01,both,overall,57780,15165,overall,3193.5,3193500.0
Johor,2008-01-01,both,overall,57838,15926,overall,3252.3,3252300.0
Johor,2009-01-01,both,overall,57849,15971,overall,3309.4,3309400.0
Johor,2010-01-01,both,overall,56064,16060,overall,3362.9,3362900.0
Johor,2011-01-01,both,overall,58167,16479,overall,3410.5,3410500.0
Johor,2012-01-01,both,overall,60444,17201,overall,3450.4,3450400.0
Johor,2013-01-01,both,overall,57402,17696,overall,3474.4,3474400.0
Johor,2014-01-01,both,overall,60443,17904,overall,3559.8,3559800.0
Johor,2015-01-01,both,overall,60543,18853,overall,3610.3,3610300.0
Johor,2016-01-01,both,overall,59561,19924,overall,3651.8,3651800.0
Johor,2017-01-01,both,overall,61085,20662,overall,3697.0,3697000.0
Johor,2018-01-01,both,overall,61084,21117,overall,3749.4,3749400.0
Johor,2019-01-01,both,overall,60261,21799,overall,3761.2,3761200.0
Johor,2020-01-01,both,overall,56908,20646,overall,4009.7,4009700.0
Johor,2021-01-01,both,overall,49990,26951,overall,4020.0,4020000.0
Johor,2022-01-01,both,overall,48254,25305,overall,4028.3,4028300.0
Kedah,2000-01-01,both,overall,41014,8982,overall,1671.9,1671900.0
Kedah,2001-01-01,both,overall,38073,9197,overall,1703.9,1703900.0
Kedah,2002-01-01,both,overall,36604,9925,overall,1734.8,1734800.0
Kedah,2003-01-01,both,overall,35407,10311,overall,1763.7,1763700.0
Kedah,2004-01-01,both,overall,35059,10095,overall,1792.4,1792400.0
Kedah,2005-01-01,both,overall,34254,10280,overall,1820.3,1820300.0
